1,Response ID,SpeakingProficiency,ListeningProficiency,WritingProficiency,ReadingProficiency,Frequency,HomeDomain,CommunityDomain,OnlineDomain,WorshipDomain,AssociationExistence,AssociationMembership,GoansInArea,MediaConsumptionFrequency,GoanPartner,GoanParent,Place of Birth,LOR,PriorEnglish,FirstLanguage,Religion,Education,SentimentalAttitudes,InstrumentalAttitudes,Ideology
2,R_1o0DeiiMeW0KdKf,9,10,7,7,A few times a week,1,0,6,0,Unsure,No,50-100,2,Yes,Both Parents,Goa,19,Yes,"Konkani, Marathi",Hindu,Graduate or professional degree,Neither agree nor disagree,Strongly agree,Strongly agree
3,R_22tNcPKd6WV7Pb4,3,3,0,1,A few times a year,0,0,0,0,Yes,Yes,200,4,No,Both Parents,India,25,Yes,English,Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
4,R_4IWlYPpj04a5eA9,0,0,0,0,A few times a year,0,1,0,0,Yes,No,10-50,1,NA,Both Parents,Pakistan,46,Yes,English,Catholic,Some college or postsecondary training,Somewhat agree,Somewhat agree,Strongly agree
5,R_1FfXDK88wOcC8bB,10,10,10,10,Everyday,10,7,8,0,No,No,0-10,9,Yes,Both Parents,Goa,2,Yes,Konkani,Hindu,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
6,R_1GnvDcXm5OKKHKN,8,9,3,6,Everyday,10,0,7,0,Yes,Yes,50-100,0,NA,Both Parents,Goa,10,Yes,English,Catholic,Some college or postsecondary training,Strongly agree,Strongly agree,Strongly agree
7,R_28J8HoxkLM9uMWb,10,10,7,7,Everyday,10,1,10,0,Yes,Yes,10-50,1,No,Both Parents,Goa,11,Yes,English,Hindu,Graduate or professional degree,Neither agree nor disagree,Somewhat agree,Strongly agree
8,R_T8eao4gHnYcR1U5,10,10,10,10,Everyday,10,5,10,10,No,No,0-10,5,Yes,Both Parents,Goa,55,Yes,Konkani,Hindu,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
9,R_2zjUk7sG9wwRrqN,8,9,8,8,A few times a month,0,1,5,0,No,No,50-100,4,No,Both Parents,India,30,Yes,"English, Hindi, Konkani, Marathi",Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
10,R_Q0bD747H6vqlSDf,7,9,7,8,A few times a week,1,1,4,0,Yes,Yes,200,5,Yes,Both Parents,Goa,23,Yes,Konkani,Catholic,Bachelor's degree,Somewhat agree,Somewhat agree,Strongly agree
11,R_3maUMkIwJpkwM7P,10,10,10,10,A few times a week,0,6,7,0,Yes,No,50-100,9,No,Both Parents,Goa,48,Yes,"English, Konkani, Portuguese,",Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
12,R_1eDI75x1cLw2Fs1,10,10,8,8,A few times a month,1,NA,NA,NA,Yes,Yes,200,1,Yes,Both Parents,India,19,Yes,English,Catholic,Graduate or professional degree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
13,R_3LifKABtQ5YCZ3h,10,10,9,10,Everyday,10,10,10,3,Yes,Yes,200,10,Yes,Both Parents,Goa,40,Yes,"English, Konkani",Catholic,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
14,R_12anBMcISFa7veb,3,5,1,1,Never,0,0,0,0,Unsure,No,0-10,1,No,Both Parents,Goa,39,Yes,Portuguese,Other,Some college or postsecondary training,Somewhat agree,Somewhat agree,Strongly agree
15,R_3Ey9hy72VzaKzfy,10,10,10,10,Everyday,10,10,10,10,Yes,Yes,200,10,Yes,Both Parents,Goa,20,Yes,"English, Konkani",Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
16,R_2rkLbSGlYGAHGFe,0,0,0,0,Never,0,0,0,0,Yes,No,200,1,Yes,Both Parents,Japan,36,Yes,English,Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
17,R_3L5SR4ojRTI1bE5,0,0,0,0,Never,0,0,0,0,No,No,10-50,0,NA,Both Parents,East Africa,10,Yes,English,Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
18,R_24IsLR9AoRs76I3,0,1,0,0,A few times a year,1,0,0,0,Yes,Yes,50-100,2,NA,Both Parents,East Africa,19,Yes,English,Catholic,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
19,R_2wpIIh6bYfaALFq,6,8,0,7,A few times a year,0,0,0,0,No,No,0-10,0,Yes,Both Parents,India,34,Yes,Portuguese,Catholic,Graduate or professional degree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
20,R_R5dAp63Gz8aZlQd,10,10,6,6,Everyday,5,9,9,10,No,No,0-10,3,No,Both Parents,Goa,4,Yes,Konkani,Hindu,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
21,R_QnWiB33wnLXi7hT,1,1,0,0,Never,0,0,0,0,No,No,0-10,0,Yes,Both Parents,India,25,Yes,English,Catholic,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
22,R_2OGyhbvUxo1qrls,10,10,1,1,A few times a year,3,1,1,1,Yes,Yes,10-50,3,Yes,Both Parents,India,26,Yes,English,Catholic,Bachelor's degree,Strongly agree,Neither agree nor disagree,Strongly agree
23,R_1QECdJUwNX1X0o5,2,2,0,0,A few times a year,0,0,0,0,Yes,Yes,200,2,Yes,Both Parents,East Africa,20,Yes,English,Catholic,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
24,R_2YchVHRks8soBmd,3,3,2,4,A few times a year,1,3,2,2,Yes,No,100-200,NA,Yes,Both Parents,Goa,22,Yes,English,Catholic,High school diploma,Strongly agree,Strongly agree,Strongly agree
25,R_2TsZ5EZPv67MVjf,7,8,6,7,A few times a week,0,3,7,,Unsure,No,200,1,Yes,Both Parents,India,34,Yes,Konkani,Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
26,R_1IN7jokFyu5biqg,10,10,0,0,A few times a week,5,0,5,0,Yes,Yes,200,5,Yes,Both Parents,India,30,Yes,Konkani,Catholic,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
27,R_1PXmoYlSpqWgpbh,9,9,5,8,A few times a week,NA,NA,NA,NA,No,No,0-10,10,No,Both Parents,Goa,20,Yes,English,Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
28,R_3QK59W2pSZ8gKqd,3,4,1,4,A few times a year,3,1,0,0,Unsure,No,10-50,2,Yes,Both Parents,Goa,50,Yes,Konkani,Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
29,R_3O1U8jsxhyrqqj7,10,10,10,10,Everyday,8,7,6,0,Yes,Yes,10-50,9,Yes,Both Parents,Goa,47,Yes,"English, Hindi, Konkani, Marathi",Catholic,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
30,R_2Qxu4KKmQlk5UXO,5,7,2,7,A few times a year,NA,2,NA,NA,Yes,No,50-100,1,No,Both Parents,India,30,Yes,English,Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
31,R_2c5EBk25RUesQNQ,8,8,2,5,A few times a month,1,1,0,NA,Yes,No,100-200,0,NA,Both Parents,Goa,65,Yes,"English, Konkani, Portuguese",Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
32,R_2f9haBeBENqTfU2,10,10,8,9,A few times a month,7,10,7,8,Yes,No,100-200,7,No,Both Parents,Goa,65,Yes,"English, Konkani",Hindu,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
33,R_Qnz4P4zmkIVYjkt,10,10,10,10,Everyday,10,NA,10,NA,Unsure,No,50-100,4,NA,Both Parents,India,20,Yes,Konkani,Catholic,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
34,R_3GdO19eKfj9BZni,1,1,0,1,Never,0,0,0,0,No,No,0-10,0,Yes,Both Parents,East Africa,27,Yes,English,Catholic,Graduate or professional degree,Somewhat agree,Strongly agree,Strongly agree
35,R_1hZr3iRDDmOFxWt,4,6,1,3,A few times a month,0,0,2,0,No,No,0-10,3,NA,Both Parents,Middle East,29,Yes,"Arabic, English, Konkani",Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
36,R_cHiSRn7EKuPJ3k5,10,10,5,5,Everyday,10,6,8,4,No,No,0-10,5,Yes,Both Parents,Goa,55,Yes,Konkani,Hindu,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
37,R_2ZQhYfcyet19eDn,8,9,5,7,A few times a month,1,1,3,0,Unsure,No,0-10,4,Yes,Both Parents,Goa,16,Yes,English,Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
38,R_2e8WTW6qAe3TcdW,10,10,9,8,Everyday,9,9,8,7,Yes,Yes,10-50,9,Yes,Both Parents,India,26,Yes,English,Catholic,Some college or postsecondary training,Strongly agree,Strongly agree,Strongly agree
39,R_O2T8oFUNsieWXWF,2,3,0,4,A few times a year,NA,NA,NA,NA,Yes,No,50-100,0,Yes,Both Parents,East Africa,38,Yes,English,Catholic,Graduate or professional degree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
40,R_1nUtEz5wKgmItNY,7,8,3,4,A few times a week,NA,4,3,NA,Yes,No,200,4,Yes,Both Parents,India,21,Yes,English,Catholic,Bachelor's degree,Somewhat agree,Neither agree nor disagree,Somewhat agree
41,R_2uxEiuv7tZ29w2O,5,6,1,3,A few times a month,3,1,0,0,No,No,0-10,2,No,Both Parents,East Africa,40,Yes,"English, Kiswahili, Konkani",Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
42,R_1GICIN7PfUl5iLJ,10,10,8,10,Everyday,9,8,8,5,Yes,Yes,10-50,6,NA,Both Parents,Goa,19,Yes,"English, Konkani",Hindu,Bachelor's degree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
43,R_DqnAWqwOHTAa16F,0,0,0,0,Never,0,0,0,0,Unsure,No,10-50,1,No,Just Father,East Africa,50,Yes,English,Catholic,Bachelor's degree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
44,R_2PhZNXfQDCviL2z,0,0,0,0,Never,0,0,0,0,Unsure,No,0-10,1,No,Just Father,East Africa,50,Yes,English,Other,Bachelor's degree,Somewhat agree,Somewhat agree,Strongly agree
45,R_r0wRfVBb56Zgiwp,7,7,3,8,A few times a year,0,0,0,0,Yes,Yes,200,5,Yes,Both Parents,East Africa,39,Yes,English,Catholic,Graduate or professional degree,Somewhat agree,Somewhat disagree,Strongly agree
46,R_2AR2EXSQ4Mvifvp,2,1,0,0,A few times a year,0,0,0,0,Yes,No,200,1,No,Both Parents,East Africa,41,Yes,English,Catholic,Graduate or professional degree,Strongly agree,Somewhat agree,Somewhat agree
47,R_1gHqKBjSbDCOM5d,5,8,0,1,A few times a year,4,3,2,1,Yes,No,10-50,2,No,Both Parents,India,21,Yes,"English, Konkani",Catholic,Graduate or professional degree,Strongly agree,Neither agree nor disagree,Strongly agree
48,R_27x8WXH0QZstki0,3,7,0,1,A few times a week,2,3,3,1,Yes,No,0-10,3,No,Both Parents,India,12,Yes,English,Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
49,R_yIwzBVdsIxEdqxj,5,6,1,6,A few times a year,0,0,0,0,Yes,No,50-100,2,NA,Both Parents,East Africa,40,Yes,English,Catholic,High school diploma,Somewhat agree,Somewhat disagree,Somewhat agree
50,R_3CTneFhqWZlM3YJ,0,0,0,0,Never,0,0,0,0,Yes,Yes,200,0,Yes,Both Parents,East Africa,52,Yes,English,Catholic,Bachelor's degree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
51,R_3KQ6BIXP6KUZesJ,5,7,4,3,A few times a year,2,1,1,0,Yes,Yes,200,1,NA,Both Parents,Middle East,20,Yes,"English, Konkani",Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
52,R_2ONp1Xrma3jpBpd,9,9,4,5,A few times a month,7,6,5,1,Yes,Yes,200,8,NA,Both Parents,India,32,Yes,Konkani,Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
53,R_1i9RQhUyYizLmob,8,8,2,3,Everyday,7,7,8,6,Unsure,No,10-50,8,Yes,Both Parents,India,12,Yes,English,Catholic,Some college or postsecondary training,Strongly agree,Strongly agree,Strongly agree
54,R_3CDROTRfC9q4wtf,8,8,7,8,A few times a week,4,4,4,2,Yes,Yes,200,3,Yes,Both Parents,Goa,36,Yes,Konkani,Catholic,Bachelor's degree,Somewhat agree,Somewhat agree,Strongly agree
55,R_24GEBWZ0BL83NAs,0,0,0,0,A few times a year,0,0,0,4,Yes,No,10-50,5,Yes,Both Parents,East Africa,44,Yes,English,Catholic,Bachelor's degree,Somewhat agree,Neither agree nor disagree,Strongly agree
56,R_02ncWmG0KZtK3Wp,9,9,4,7,A few times a month,0,5,5,NA,Yes,Yes,100-200,0,Yes,Both Parents,India,28,Yes,"English, Hindi, Konkani",Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
57,R_24cRrVCquVFsH3k,8,8,1,3,A few times a week,1,1,1,0,Yes,Yes,200,1,No,Both Parents,Goa,40,Yes,English,Catholic,Some college or postsecondary training,Strongly agree,Strongly agree,Strongly agree
58,R_sT4dnMSVaxgenvz,1,3,0,2,Never,0,0,0,0,Yes,No,50-100,0,Yes,Both Parents,East Africa,39,Yes,English,Catholic,Some college or postsecondary training,Neither agree nor disagree,Somewhat agree,Strongly agree
59,R_2rNlWDsq68N7onv,0,0,0,0,Never,0,0,0,0,Yes,No,200,0,NA,Both Parents,India,50,Yes,English,Catholic,Graduate or professional degree,Somewhat agree,Neither agree nor disagree,Strongly agree
60,R_10UStgzOa2L0YL8,3,3,3,4,A few times a year,NA,NA,NA,NA,No,No,10-50,NA,NA,Both Parents,Middle East,20,Yes,English,Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Somewhat agree
61,R_2uKiM9zOP2a1PKL,10,10,2,1,Everyday,10,9,9,8,Yes,Yes,200,6,Yes,Both Parents,Middle East,7,Yes,English,Catholic,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
62,R_yK4lS78Kf1irrFL,3,6,,1,A few times a year,0,2,1,0,No,No,0-10,0,Yes,Both Parents,East Africa,37,Yes,English,Catholic,Bachelor's degree,Somewhat agree,Somewhat agree,Strongly agree
63,R_1HhOzq6Qe4MIPQy,3,7,2,2,A few times a year,2,NA,0,0,Yes,No,200,2,NA,Both Parents,Goa,18,Yes,English,Catholic,Graduate or professional degree,Somewhat agree,Neither agree nor disagree,Strongly agree
64,R_yC5rWbtmLMwlskh,5,5,0,0,A few times a year,0,1,0,0,No,No,0-10,0,Yes,Both Parents,Middle East,21,Yes,English,Catholic,Graduate or professional degree,Strongly agree,Somewhat agree,Strongly agree
65,R_3e2nXbp1DpLJ7nr,3,3,0,0,A few times a year,0,0,0,0,Unsure,No,0-10,0,NA,Both Parents,India,25,Yes,English,Catholic,Bachelor's degree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
66,R_2QRSl0FidG3E0YP,0,0,0,0,Never,0,0,0,0,Yes,No,100-200,0,No,Just Mother,Paklstan,20,Yes,English,Catholic,Graduate or professional degree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
67,R_56DZcoSjAKCWEiB,10,10,10,10,Everyday,10,10,10,5,Yes,Yes,200,6,Yes,Both Parents,India,32,Yes,Konkani,Hindu,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
68,R_33vS3P1aedArSTf,5,7,0,2,A few times a week,3,1,2,0,Unsure,No,10-50,3,Yes,Both Parents,India,20,Yes,English,Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
69,R_3qpPlviPtKFyMD9,9,10,9,10,Everyday,8,10,10,5,No,No,10-50,5,Yes,Both Parents,India,17,Yes,"English, Konkani",Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
70,R_2zNn4HGTUTWgIVX,4,9,1,9,A few times a year,0,0,0,0,Yes,Yes,10-50,2,Yes,Both Parents,India,41,Yes,English,Catholic,Bachelor's degree,Somewhat agree,Somewhat agree,Strongly agree
71,R_2OT4uo4mVaCjBdF,10,10,10,10,Everyday,8,6,2,0,Yes,Yes,50-100,1,Yes,Both Parents,Goa,38,Yes,konkani,Hindu,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
72,R_3Ljy4HkvOREzF8S,10,10,9,9,Everyday,10,10,10,0,No,No,0-10,7,Yes,Both Parents,India,10,Yes,English,Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
73,R_1g2tm0zL6eiHlqQ,5,5,3,3,A few times a month,0,0,5,NA,No,No,0-10,NA,No,Both Parents,East Africa,1,Yes,English,Catholic,Bachelor's degree,Somewhat disagree,Neither agree nor disagree,Strongly agree
74,R_27VfBmNbDPaqMf4,0,0,0,0,Never,0,0,0,0,Yes,No,10-50,0,No,Both Parents,East Africa,48,Yes,English,Catholic,Graduate or professional degree,Neither agree nor disagree,Somewhat agree,Strongly agree
75,R_3FUtwPu5LJG2PRP,0,4,0,0,Never,0,0,0,0,No,No,0-10,1,Yes,Both Parents,East Africa,43,Yes,English,Catholic,Bachelor's degree,Neither agree nor disagree,Somewhat agree,Strongly agree
76,R_Dc9kvqVb0FzqF8t,0,0,0,0,Everyday,10,0,3,0,Yes,Yes,100-200,7,No,Both Parents,East Africa,32,Yes,"English, Swahili",Catholic,Graduate or professional degree,Somewhat agree,Strongly agree,Strongly agree
77,R_2v2Gh4Tf9uoAm7n,0,0,0,0,Never,0,0,0,0,Unsure,No,10-50,0,No,Both Parents,Middle East,25,Yes,English,Catholic,Graduate or professional degree,Strongly disagree,Somewhat disagree,Somewhat agree
78,R_3shDzcOeui0zaBH,1,2,0,0,A few times a year,1,0,0,0,Unsure,No,50-100,0,No,Just Father,India,20,Yes,English,Catholic,Graduate or professional degree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
79,R_1MGvygSVXyEfCo1,3,7,,3,A few times a month,2,NA,2,0,Yes,Yes,50-100,3,No,Both Parents,India,16,Yes,English,Catholic,Graduate or professional degree,Somewhat agree,Strongly agree,Strongly agree
80,R_3CUYUAp9h3fJEDs,10,10,1,5,Everyday,10,1,1,1,No,No,0-10,0,NA,Just Father,Goa,4,Yes,Konkani,Hindu,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
81,R_vT8Ss3oUqcXK2Wt,10,10,5,8,Everyday,10,8,8,4,Yes,No,100-200,6,Yes,Both Parents,Goa,5,Yes,English,Hindu,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
82,R_1g095md6SyBE7vE,10,10,2,2,A few times a month,0,0,5,0,No,No,0-10,1,No,Both Parents,Goa,17,Yes,English,Hindu,Graduate or professional degree,Strongly agree,Somewhat agree,Strongly agree
83,R_2uxsrkBCvv0dRE1,6,9,3,6,A few times a week,6,3,3,0,Unsure,No,200,5,Yes,Both Parents,Goa,50,Yes,Konkani,Catholic,Graduate or professional degree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
84,R_brRM156GUyzSwff,1,2,0,0,Never,0,0,0,0,No,No,0-10,0,No,Just Father,India,36,Yes,English,Catholic,Graduate or professional degree,Somewhat disagree,Somewhat disagree,Somewhat agree
85,R_11i0Dk3tiZqZwKg,5,8,0,5,A few times a year,1,1,1,0,Unsure,No,100-200,0,Yes,Both Parents,India,12,Yes,English,Catholic,Bachelor's degree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
86,R_1QlW8w2aMkw0d6M,0,1,0,0,Never,0,0,0,0,No,No,50-100,1,No,Both Parents,India,28,Yes,English,Catholic,Bachelor's degree,Somewhat disagree,Somewhat disagree,Somewhat agree
87,R_3ixOH9DurJ0htWM,10,10,7,10,Everyday,10,9,9,9,Yes,No,50-100,4,Yes,Both Parents,Goa,30,Yes,Konkani,Hindu,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
88,R_BQC3PSHt5Nz7AOJ,9,9,4,4,Everyday,4,2,5,,No,No,0-10,0,Yes,Both Parents,Goa,26,Yes,English,Catholic,Bachelor's degree,Neither agree nor disagree,Somewhat agree,Strongly agree
89,R_2v2FFnKsjI2wlav,10,10,4,7,Everyday,10,8,8,2,Yes,Yes,10-50,10,Yes,Both Parents,India,27,Yes,Konkani,Catholic,Graduate or professional degree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
90,R_3EgtPCXmr6dSwqO,5,8,1,3,A few times a year,NA,3,1,NA,Yes,Yes,0-10,1,No,Both Parents,Goa,44,Yes,English,Catholic,Graduate or professional degree,Somewhat agree,Strongly agree,Strongly agree
91,R_2rkzyFZpUUCvm5R,10,10,9,9,Everyday,10,2,2,2,Yes,Yes,10-50,1,Yes,Both Parents,Goa,21,Yes,Konkani,Hindu,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
92,R_1Op0ScnPByeCUCs,7,7,4,4,A few times a month,2,2,0,,Yes,Yes,50-100,1,Yes,Both Parents,East Africa,53,Yes,Konkani,Catholic,Some college or postsecondary training,Strongly agree,Strongly agree,Strongly agree
93,R_xs9yh6RR07fAhIl,0,1,0,0,Never,0,0,0,0,Yes,Yes,100-200,1,NA,Both Parents,Goa,40,Yes,English,Catholic,Bachelor's degree,Somewhat agree,Somewhat disagree,Strongly agree
94,R_1CIQL67asOI9jlF,0,0,0,0,Never,0,0,0,0,No,No,10-50,NA,NA,Both Parents,Goa,42,Yes,English,Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
95,R_Y4SnCDxI9Gp0CpX,9,10,2,4,Everyday,10,8,8,0,Yes,No,0-10,6,Yes,Both Parents,Goa,29,Yes,English,Hindu,Graduate or professional degree,Strongly agree,Neither agree nor disagree,Strongly agree
96,R_3PdTgJyuceQYjYq,8,8,7,6,Everyday,0,3,10,NA,Yes,No,10-50,2,No,Both Parents,Goa,15,Yes,English,Hindu,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
97,R_2tbSgM9nIVRoCBg,10,10,10,10,Everyday,10,9,10,8,Yes,Yes,50-100,5,Yes,Both Parents,Goa,37,Yes,Konkani,Hindu,Graduate or professional degree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
98,R_2akk1Tn0PoYVnaL,10,10,6,6,Everyday,10,1,10,,Unsure,No,0-10,0,Yes,Both Parents,Goa,14,Yes,Konkani,Hindu,Bachelor's degree,Strongly agree,Strongly agree,Strongly agree
99,R_BtAUTOZnKCZBo8V,2,3,0,0,Never,0,0,0,0,Unsure,No,200,0,No,Just Father,India,30,Yes,English,Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Somewhat agree
100,R_1CsDY5c4yxQ8nDS,9,9,6,7,A few times a year,0,1,0,0,Yes,Yes,0-10,1,No,Both Parents,India,35,Yes,English,Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
101,R_1gSdGuwiY4Cb3LA,5,6,2,2,Never,0,0,0,0,No,No,0-10,NA,No,Both Parents,East Africa,44,Yes,"English, Swahili",Catholic,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
102,R_24PrdQdPhKmDVGE,8,9,5,5,A few times a month,0,2,2,0,Yes,Yes,200,8,No,Both Parents,India,30,Yes,English,Catholic,Graduate or professional degree,Strongly agree,Somewhat agree,Strongly agree
103,R_11XaCUORL9Z8y7w,9,9,2,4,A few times a week,2,6,2,7,Yes,Yes,50-100,4,Yes,Both Parents,India,32,Yes,Konkani,Catholic,Graduate or professional degree,Strongly agree,Strongly agree,Strongly agree
104,R_1FCIYR5nQCKy2Po,7,9,2,6,A few times a week,8,0,NA,3,Yes,No,10-50,3,Yes,Both Parents,Goa,26,Yes,Konkani,Catholic,Bachelor's degree,Somewhat agree,Somewhat agree,Strongly agree
105,R_2VOBdAkexw2j1wi,8,9,1,5,A few times a week,9,1,7,1,Yes,Yes,10-50,6,NA,Both Parents,Goa,34,No,Konkani,Catholic,Some college or postsecondary training,Somewhat agree,Strongly agree,Strongly agree
106,R_BJutoegShygIFG1,4,4,0,0,A few times a year,3,0,1,0,Yes,No,50-100,2,No,Both Parents,Goa,25,Yes,English,Catholic,Bachelor's degree,Neither agree nor disagree,Somewhat agree,Strongly agree
107,R_1Du4oee2qBG5bch,10,10,10,10,Everyday,10,10,10,10,Yes,Yes,100-200,10,Yes,Both Parents,Goa,24,Yes,"English, Konkani",Catholic,Some college or postsecondary training,Strongly agree,Strongly agree,Strongly agree
108,R_1rjfjTFE0ICqk98,6,10,1,2,A few times a week,1,0,1,1,Yes,Yes,50-100,1,Yes,Both Parents,India,28,Yes,English,Catholic,Bachelor's degree,Somewhat agree,Somewhat agree,Strongly agree
109,R_1OCECaVu8txYbPl,2,3,0,0,A few times a week,10,1,0,0,No,No,10-50,0,No,Both Parents,Goa,48,No,English,Other,Graduate or professional degree,Somewhat agree,Somewhat agree,Strongly agree
110,R_33mBFvpRoyXwIWI,3,9,0,1,A few times a month,2,0,0,0,Unsure,No,0-10,1,No,Both Parents,Goa,38,No,Konkani,Other,Graduate or professional degree,Strongly agree,Somewhat agree,Strongly agree